,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.DD.A11D.01A.11R.A131.07,-0.223120280799174,-0.23523890288592,0.433977134599508,0.0148073406646936,0.17482411430185,0.141766789503703,0.14566766513795,0.240753891850783,-0.283901714852429,-0.0358896663218267,0.0575560726926963,-0.159005116872428,0.242862541063211,0.0658067439341362,-0.194588809913717,0.363142318477002,0.102459685604636,0.297334736376824,-0.150943671904243,0.207623251462085,-0.151301508521845,0.371377877499009,-0.150385368431323,-0.431366903496349
TCGA.DD.AACT.01A.11R.A41C.07,-0.274269424188086,-0.122178992285359,0.506078223803597,0.22070703100384,0.191432366482413,0.051192924926267,0.227811925844771,0.267840937346258,-0.344060263186206,0.0890637748258964,0.132362605176855,-0.0355702232484606,0.226316342457616,0.0232172107812571,0.0296135024925851,0.393588038614163,0.116260524047006,0.288347279119685,-0.120838581182983,0.228790772554061,-0.17103310207296,0.334994044699924,-0.077678102145905,-0.0319421498646594
TCGA.G3.AAUZ.01A.11R.A38B.07,-0.0509926328217085,-0.144439040707396,0.568633096503651,0.310682285699327,0.204115976475205,0.023835017354619,0.165385132974521,0.281788640260569,-0.295388145236088,-0.0660590835429537,0.00264073331329019,-0.0622677166806043,0.221904295800062,0.568008322361837,0.187773017303336,0.358977038525763,0.0546752269164725,0.284911711254898,-0.0661046823705969,0.253984365156497,-0.08696154477221,0.275531364072546,0.0170286274057435,-0.293542442043282
TCGA.EP.A26S.11A.12R.A16W.07,-0.309595364068678,-0.194896704534773,0.525521370224143,0.38871649794872,0.17278144283745,0.13579919777587,0.253167543484061,0.423627271077964,-0.207468246830925,0.350894018909384,0.0121867842564707,-0.0290131055211768,0.231575433065882,-0.12880376172277,0.0837137498234895,0.384485206072154,0.177077864862126,0.275629433184133,0.00322842144617625,0.408596901325033,-0.0700043556615084,0.343655578187327,-0.118642219393027,-0.305964389212872
